variant_id,card,variant,price,stock,image
47890715541739,Cost Down (LCKC-EN040)  Secret Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161966.jpg?v=1772691463
47890715508971,Cloning (LCKC-EN055)  Ultra Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161981.jpg?v=1772691457
47890715476203,Chain Disappearance (LCKC-EN094)  Secret Rare,Near Mint - 1st Edition,4999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162020.jpg?v=1772691451
47890715443435,Castle of Dragon Souls (LCKC-EN051)  Ultra Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161977.jpg?v=1772691446
47890715410667,Cards of Consonance (LCKC-EN092)  Secret Rare,Near Mint - 1st Edition,6999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162018.jpg?v=1772691440
47890715377899,Card of Demise (LCKC-EN029)  Secret Rare,Near Mint - 1st Edition,2999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161955.jpg?v=1772691433
47890715345131,Call of the Grave (LCKC-EN103)  Secret Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162029.jpg?v=1772691428
47890715312363,C-Crush Wyvern (LCKC-EN021)  Secret Rare,Near Mint - 1st Edition,3999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161947.jpg?v=1772691422
47890715279595,Burst Stream of Destruction (LCKC-EN025)  Secret Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161951.jpg?v=1772691416
47890715246827,Blue-Eyes White Dragon (Version 4) (LCKC-EN001)  Ultra Rare,Near Mint - 1st Edition,3499.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162089.jpg?v=1772691410
47890715181291,Blue-Eyes White Dragon (Version 3) (LCKC-EN001)  Ultra Rare,Near Mint - 1st Edition,9999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162088.jpg?v=1772691404
47890715148523,Blue-Eyes White Dragon (Version 1) (LCKC-EN001)  Ultra Rare,Near Mint - 1st Edition,5999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161927.jpg?v=1772691398
47890715115755,Blue-Eyes Shining Dragon (LCKC-EN008)  Secret Rare,Near Mint - 1st Edition,33999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161934.jpg?v=1772691393
47890715050219,Anti Raigeki (LCKC-EN104)  Secret Rare,Near Mint - 1st Edition,1999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162030.jpg?v=1772691387
47890715017451,Ancient Fairy Dragon (LCKC-EN070)  Ultra Rare,Near Mint - 1st Edition,2499.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161996.jpg?v=1772691381
47890712396011,Yad'al-Hecahands (PHRE-EN011)  Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665418.jpg?v=1772691137
47890712297707,Tragoedia (PHRE-EN046)  Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665468.jpg?v=1772691132
47890712264939,Time Reloader (PHRE-EN051)  Rare,Near Mint - 1st Edition,899.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665474.jpg?v=1772691125
47890712232171,The Hidden Hecahands (PHRE-EN008)  Ultra Rare,Near Mint - 1st Edition,14999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665414.jpg?v=1772691119
47890712035563,Terrors in the Hidden City (PHRE-EN054)  Rare,Near Mint - 1st Edition,899.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665478.jpg?v=1772691113
47890712002795,Synchro Transmission (PHRE-EN060)  Rare,Near Mint - 1st Edition,899.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665485.jpg?v=1772691107
47890711970027,Synchro Overtake (PHRE-EN045)  Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665467.jpg?v=1772691101
47890711937259,Sunset Beat (PHRE-EN055)  Rare,Near Mint - 1st Edition,899.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665480.jpg?v=1772691094
47890711904491,Spirit of the Fall Wind (PHRE-EN028)  Rare,Near Mint - 1st Edition,899.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665441.jpg?v=1772691088
47890711871723,Sol and Luna (PHRE-EN053)  Rare,Near Mint - 1st Edition,899.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665477.jpg?v=1772691082
47890711806187,Snatch Steal (PHRE-EN049)  Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665471.jpg?v=1772691077
47890711773419,"Proto Enneacraft - ""orgIA"" (PHRE-EN016)  Rare",Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665424.jpg?v=1772691071
47890711740651,Pot of The Forbidden (PHRE-EN027)  Rare,Near Mint - 1st Edition,899.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665439.jpg?v=1772691065
47890711544043,Pinpoint Landing (PHRE-EN029)  Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665442.jpg?v=1772691059
47890711511275,Number 11: Big Eye (PHRE-EN013)  Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665421.jpg?v=1772691053
47890711478507,Nightmare Magician (PHRE-EN047)  Rare,Near Mint - 1st Edition,899.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665469.jpg?v=1772691047
47890711445739,Master Tao the Chanter (PHRE-EN012)  Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665420.jpg?v=1772691041
47890711380203,Kewl Tune Track Maker (PHRE-EN035)  Super Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665454.jpg?v=1772691034
47890711347435,Kewl Tune Synchro (PHRE-EN039)  Ultra Rare,Near Mint - 1st Edition,58999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665460.jpg?v=1772691028
47890711314667,Kewl Tune RS (PHRE-EN037)  Ultra Rare,Near Mint - 1st Edition,22999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665456.jpg?v=1772691022
47890711281899,Kewl Tune Remix (PHRE-EN036)  Super Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665455.jpg?v=1772691016
47890711249131,Kewl Tune Reco (PHRE-EN033)  Ultra Rare,Near Mint - 1st Edition,49999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665449.jpg?v=1772691011
47890711216363,Kewl Tune Playlist (PHRE-EN041)  Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665463.jpg?v=1772691004
47890711183595,Kewl Tune Mix (PHRE-EN031)  Ultra Rare,Near Mint - 1st Edition,29999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665444.jpg?v=1772690998
47890711150827,Kewl Tune Loudness War (PHRE-EN038)  Super Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665459.jpg?v=1772690992
47890711085291,Kewl Tune Cue (PHRE-EN034)  Ultra Rare,Near Mint - 1st Edition,39999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665452.jpg?v=1772690987
47890711052523,Kewl Tune Clip (PHRE-EN032)  Super Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665447.jpg?v=1772690981
47890711019755,"JJ ""Kewl Tune"" (PHRE-EN040)  Super Rare",Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665462.jpg?v=1772690974
47890710986987,Jet Synchron (PHRE-EN058)  Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/665483.jpg?v=1772690968
